order_id,customer_id,customer_email,customer_name,order_date,order_value,status
ord_001,cust_105,charlie.green@example.com,Charlie Green,2026-06-01 14:19:50,154.95,completed
ord_002,cust_106,david.white@example.com,David White,2026-06-01 17:50:34,186.41,completed
ord_003,cust_105,charlie.green@example.com,Charlie Green,2026-06-01 10:29:30,227.25,completed
ord_004,cust_104,alice.brown@example.com,Alice Brown,2026-06-01 12:03:02,56.05,completed
ord_005,cust_108,frank.miller@example.com,Frank Miller,2026-06-01 18:46:45,324.74,completed
ord_006,cust_108,frank.miller@example.com,Frank Miller,2026-06-01 21:36:13,204.23,completed
ord_007,cust_107,eva.black@example.com,Eva Black,2026-06-01 20:03:11,250.24,completed
ord_008,cust_110,henry.wilson@example.com,Henry Wilson,2026-06-01 17:22:21,86.43,completed
ord_009,cust_110,henry.wilson@example.com,Henry Wilson,2026-06-02 17:33:44,105.99,completed
ord_010,cust_103,bob.johnson@example.com,Bob Johnson,2026-06-02 20:14:41,176.74,completed
ord_011,cust_110,henry.wilson@example.com,Henry Wilson,2026-06-02 11:51:54,146.58,completed
ord_012,cust_110,henry.wilson@example.com,Henry Wilson,2026-06-02 18:51:03,256.0,completed
ord_013,cust_106,david.white@example.com,David White,2026-06-02 19:37:03,92.71,completed
ord_014,cust_101,john.doe@example.com,John Doe,2026-06-02 16:06:33,63.68,completed
ord_015,cust_106,david.white@example.com,David White,2026-06-02 20:12:44,300.58,failed
ord_016,cust_102,jane.smith@example.com,Jane Smith,2026-06-03 19:35:18,45.33,completed
ord_017,cust_110,henry.wilson@example.com,Henry Wilson,2026-06-03 21:11:56,60.89,completed
ord_018,cust_105,charlie.green@example.com,Charlie Green,2026-06-03 13:09:20,56.45,completed
ord_019,cust_102,jane.smith@example.com,Jane Smith,2026-06-03 11:00:07,135.15,failed
ord_020,cust_108,frank.miller@example.com,Frank Miller,2026-06-03 15:12:18,170.21,completed
ord_021,cust_108,frank.miller@example.com,Frank Miller,2026-06-04 09:37:03,86.41,completed
ord_022,cust_101,john.doe@example.com,John Doe,2026-06-04 21:16:07,265.56,completed
ord_023,cust_105,charlie.green@example.com,Charlie Green,2026-06-04 13:28:40,163.75,failed
